workload_id,axis,scale_value,execution_index,trial,wall_ms,cpu_ms
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,10,13.649793,13.627702
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,1,46.612424,46.632506
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,2,46.693092,46.715695
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,3,46.220064,46.242955
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,4,45.883134,45.905373
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,5,43.127825,43.148059
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,6,46.530779,46.554711
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,7,45.040718,45.063203
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,8,46.398977,46.421932
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,9,45.64292,45.659366
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,10,45.702168,45.724852
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,1,86.796437,87.665385
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,2,84.045322,86.245035
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,3,91.073499,93.458263
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,4,82.538355,84.698915
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,5,87.32026,89.606561
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,6,85.458502,87.696018
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,7,81.983054,84.129003
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,8,82.049023,84.197074
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,9,84.373751,86.583049
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,10,86.375405,88.636562
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,1,8.214129,8.19156
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,2,8.177547,8.157049
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,3,8.387202,8.36627
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,4,8.277292,8.256626
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,5,8.043421,8.023418
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,6,8.120246,8.09995
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,7,7.919005,7.899395
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,8,8.499097,8.477712
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,9,8.122519,8.102352
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,10,7.703155,7.684119
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,1,12.87715,12.788358
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,2,14.563657,14.466782
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,3,12.830901,12.74564
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,4,12.44371,12.36141
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,5,13.516113,13.426978
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,6,13.046704,12.96062
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,7,13.530616,13.439623
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,8,12.993384,12.907476
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,9,12.99014,12.904131
S64-SOURCE-ARTIFACTS-00025,source_artifacts,25,17,10,12.699926,12.615773
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,1,24.142224,24.126219
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,2,24.364155,24.340838
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,3,24.824932,24.786197
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,4,26.199886,26.158586
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,5,25.711547,25.671448
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,6,25.538703,25.498816
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,7,24.798544,24.760352
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,8,24.973281,24.933701
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,9,25.134502,25.095506
S64-SOURCE-ARTIFACTS-00050,source_artifacts,50,4,10,25.053212,25.014268
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,1,50.530748,50.488473
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,2,50.496067,50.447663
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,3,49.111966,49.077193
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,4,52.677758,52.639524
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,5,50.09805,50.061209
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,6,51.270341,51.234041
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,7,54.000691,53.961929
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,8,48.530506,48.478209
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,9,48.333592,48.297315
S64-SOURCE-ARTIFACTS-00100,source_artifacts,100,3,10,49.388633,49.351273
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,1,104.243477,103.953388
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,2,105.586283,105.312246
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,3,104.727109,104.448351
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,4,103.902697,103.608088
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,5,105.71391,105.37111
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,6,110.276948,109.92382
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,7,106.012008,105.664561
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,8,108.433606,108.084449
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,9,110.355771,109.988898
S64-SOURCE-ARTIFACTS-00200,source_artifacts,200,8,10,104.28913,103.950278
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,1,8.571555,8.55549
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,2,8.102559,8.088879
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,3,8.038759,8.025094
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,4,7.728776,7.716104
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,5,8.399363,8.385403
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,6,7.762555,7.749893
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,7,7.777805,7.765072
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,8,9.040924,9.024848
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,9,7.751239,7.738423
S64-TELEMETRY-RECORDS-00001,telemetry_records,1,6,10,7.887498,7.874399
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,1,15.216973,15.095469
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,2,11.252169,11.163939
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,3,12.105784,12.010116
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,4,12.765746,12.665327
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,5,10.751798,10.667736
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,6,11.732355,11.640056
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,7,11.48805,11.398281
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,8,11.016832,10.930578
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,9,10.949336,10.863623
S64-TELEMETRY-RECORDS-00010,telemetry_records,10,19,10,10.53942,10.457077
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,1,42.563221,42.372051
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,2,42.773076,42.584329
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,3,41.539607,41.357208
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,4,41.75559,41.57192
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,5,42.050365,41.865711
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,6,42.345846,42.1595
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,7,41.283794,41.102784
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,8,41.545223,41.36256
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,9,40.852921,40.673123
S64-TELEMETRY-RECORDS-00100,telemetry_records,100,13,10,46.022446,45.802352
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,1,254.961443,253.635884
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,2,246.786501,245.485443
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,3,250.697004,249.375442
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,4,249.028043,247.71511
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,5,253.082936,251.374848
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,6,247.77813,246.380194
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,7,251.940164,250.509336
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,8,256.351957,254.895858
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,9,250.635985,249.152919
S64-TELEMETRY-RECORDS-00500,telemetry_records,500,14,10,247.986629,246.505798
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,1,668.734743,662.488544
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,2,668.705751,663.937324
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,3,665.733108,660.973504
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,4,670.994126,665.825092
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,5,674.840743,669.876135
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,6,668.89976,663.939999
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,7,682.502835,676.97106
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,8,681.888042,676.702476
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,9,675.904698,670.765888
S64-TELEMETRY-RECORDS-01000,telemetry_records,1000,18,10,667.526994,662.087953
