workload_id,axis,scale_value,execution_index,trial,wall_ms,cpu_ms
S64-SBOM-COMPONENTS-01000,sbom_components,1000,5,10,11.282336,11.904147
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,1,37.374151,39.434514
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,2,36.80302,38.834656
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,3,36.438966,38.450774
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,4,35.764536,37.739092
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,5,33.996037,35.873022
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,6,36.09207,38.084955
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,7,36.021071,38.010061
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,8,36.208864,38.207945
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,9,42.084079,44.408429
S64-SBOM-COMPONENTS-05000,sbom_components,5000,2,10,37.569645,39.644035
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,1,87.736929,91.644864
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,2,85.121742,88.914442
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,3,86.960745,90.835917
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,4,87.087862,90.94104
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,5,79.454665,82.995248
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,6,85.0653,88.554643
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,7,79.915896,83.477111
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,8,93.050861,97.197354
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,9,105.287609,109.97986
S64-SBOM-COMPONENTS-10000,sbom_components,10000,20,10,82.669049,86.352964
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,1,6.448653,6.801965
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,2,6.086627,6.421692
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,3,6.445481,6.800576
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,4,6.448171,6.803122
S64-SOURCE-ARTIFACTS-00015,source_artifacts,15,7,5,5.947319,6.275031
