scenario_id,event_count,source_count,final_state,authorized_state,E_t,A_t,I_t,U_t,C_t,CA,SC,TR
ghost_logger,5,15,Report-Ready,Report,0.85,1.0,0.75,0.0,False,,1.0,1.0
false_comfort,4,13,Report-Ready,Report,0.85,1.0,0.75,0.0,False,,1.0,1.0
false_comfort_control,1,8,Document No-Report,,0.85,0.1,0.75,0.0,False,,1.0,1.0
operational_outlier,4,14,Report-Ready,Report,0.85,1.0,1.0,0.0,False,,1.0,1.0
operational_outlier_control,2,10,Monitor,,0.85,1.0,0.5,0.0,False,,1.0,1.0
rapid_pivot,6,13,Report-Ready,Report,0.85,1.0,0.75,0.15,False,1.0,1.0,1.0
rapid_pivot_control,6,13,Report-Ready,Report,0.85,1.0,0.75,0.15,False,,1.0,1.0
