event_id,timestamp,event_class,new_source_ids,available_source_count,public_exploitation_known,kev_known,hotfix_known,epss_known,provisional_source_ids
HIST-EVT-20240326,2024-03-26T00:00:00Z,occurrence_only_retrospective,,0,False,False,False,False,
HIST-EVT-20240410,2024-04-10T00:00:00Z,private_observation,,0,False,False,False,False,
HIST-EVT-20240411,2024-04-11T00:00:00Z,private_observation,,0,False,False,False,False,
HIST-EVT-NVD,2024-04-12T08:15:06Z,public_disclosure,HIST-NVD-001,1,False,False,False,False,
HIST-EVT-DISCLOSURE,2024-04-12T23:59:59Z,public_disclosure,HIST-PAN-ADV-001;HIST-UNIT42-001;HIST-VOLEXITY-001,4,True,False,False,False,
HIST-EVT-KEV,2024-04-13T01:00:01Z,public_catalog_update,HIST-KEV-001,5,True,True,False,False,
HIST-EVT-HOTFIX,2024-04-14T23:59:59Z,vendor_update,HIST-PAN-HOTFIX-001,6,True,True,True,False,
HIST-EVT-EPSS,2024-04-15T23:59:59Z,predictive_update,HIST-EPSS-001,7,True,True,True,True,
