axis,minimum_scale,minimum_median_wall_ms,maximum_scale,maximum_median_wall_ms,maximum_p95_wall_ms,maximum_peak_rss_mib,maximum_input_mib,slowdown_vs_axis_minimum,decision_equivalent
sbom_components,2,6.907253,10000,86.041244,105.287609,59.742,3.744,12.456652,True
telemetry_records,1,6.496583,1000,638.210497,679.167179,44.84,0.322,98.237873,True
source_artifacts,15,6.448412,200,88.447439,100.298618,43.25,0.068,13.716158,True
replay_events,5,6.397845,100,54.955365,60.866101,43.25,0.007,8.589668,True
